family,package,relative_path,row_id,speaker,english_source,current_russian,status
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0305_0090_0010,char_WHAMON,"Got something urgent to do? Whale, in that case,
don't worry about me. Get going, already!","Срочные дела? Ну и кит с ним — обо мне не волнуйся.
Иди уже!",localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0305_0090_0020,char_WHAMON,"Whale, whale. What's the matter? Do you want to go back?",Вот так кит. Что случилось? Хочешь вернуться?,localized
Whamon: whale/well,patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0903_0100_0030,char_WHAMON,"Whale, then! Let's get going!",Китово! Тогда в путь!,localized
Whamon: whale/well,patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0903_0390_0010,char_WHAMON,"Whale, there you are. I've been waiting for you!",Вот так кит — а вот и ты! Я тебя ждал!,localized
Whamon: whale/well,patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0903_0390_0050,char_WHAMON,"Whale, should we head out now?","Ну что, китуем?",localized
Whamon: whale/well,patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0903_0390_0080,char_WHAMON,"Whale, whale! Consider my spirits lifted! Okay, then, let's
gooooo!","Китово! Сразу полегчало! Ладно,
тогда вперё-о-о-од!",localized
Whamon: whale/well,patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0903_0390_0100,char_WHAMON,"Whale, hop in!","Китово, запрыгивай!",localized
Whamon: whale/well,patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0904_0420_0020,char_WHAMON,"I'm glad my memory returned so I could ferry you to your
destination. Whale, good luck to you!","Рад, что память вернулась и я смог доставить тебя на место.
Вот так кит! Удачи!",localized
Whamon: whale/well,patch_text01,message/field_text.mbe/000_Sheet1.csv,g_degi_h0212_0010,char_WHAMON,"*sniff* It smells like a sea breeze! My instincts are
going crazy! Whale you take me to the sea, please?","*принюхивается* Пахнет морским бризом! Инстинкты
разыгрались! Поможешь киту добраться до моря?",localized
Whamon: whale/well,patch_text01,message/field_text.mbe/000_Sheet1.csv,g_degi_h0212_0020,char_WHAMON,"Not enough space?
Whale, I'm sorry my body's so big...","Места не хватает?
Вот так кит... Прости, я слишком большой.",localized
Whamon: whale/well,patch_text01,message/m170.mbe/000_Sheet1.csv,m170_100_040,char_WHAMON,"Whale, whale, whale... Who might you be? Is it safe to assume
you're Shellmon's friends, since you have the conch?","Вот так кит... Кто вы? Раз у вас раковина,
можно считать, что вы друзья Шеллмона?",localized
Whamon: whale/well,patch_text01,message/m170.mbe/000_Sheet1.csv,m170_100_060,char_WHAMON,Whale! I knew it!,Вот так кит! Я так и знал!,localized
Whamon: whale/well,patch_text01,message/m170.mbe/000_Sheet1.csv,m170_100_070,char_WHAMON,"Whale, is that so? But you do have the conch...",Вот так кит... Но раковина-то у тебя...,localized
Whamon: whale/well,patch_text01,message/m170.mbe/000_Sheet1.csv,m170_100_080,char_WHAMON,"Good point. I see that conch, and, whale, that's good
enough for me!","Хороший довод. Вижу раковину —
кит с ним, поверю!",localized
Whamon: whale/well,patch_text01,message/m170.mbe/000_Sheet1.csv,m170_100_090,char_WHAMON,"Whale, hop in! You're heading into the ocean, right? I'll
take you!","Китово, запрыгивай! Тебе в океан, да?
Я отвезу!",localized
Whamon: whale/well,patch_text01,message/m170.mbe/000_Sheet1.csv,m170_110_010,char_WHAMON,"Whale, thanks to a special layer of thin film, breathable air won't
be problem! Let me know when you want to return.","Китово! Особая тонкая плёнка удержит воздух.
Скажи, когда захочешь вернуться.",localized
Whamon: whale/well,patch_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_02_212_10,,"Whale, whale! Hop on my back and let's sail the high seas!
Yohoho! Fun awaits!","Китово! Запрыгивай ко мне на спину — и в открытое море!
Йо-хо-хо! Нас ждут приключения!",localized
